-3525.843,4055.820
-3572.341,3971.360
-3086.442,4071.335
-3169.680,3928.929
-3767.692,4208.510
-3778.384,4155.757
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
-3.526,4.056
-3.572,3.971
-3.086,4.071
-3.170,3.929
-3.768,4.209
-3.778,4.156
