-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
-146.000,-21.999,3.800
-146.000,-128.000,3.600
-685.000,-22.000,3.800
-685.000,-128.000,3.300
442.000,-22.000,3.600
442.000,-128.000,3.500
